occ_code,title,observed_exposure,indonesia_usage_pct,n_tasks,quad
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,0.0211,0.0,0,low_low
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",0.0152,0.0,0,low_low
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.032,0.0,0,low_low
51-7032,"Patternmakers, Wood",0.0301,0.1552967276760954,1,low_low
51-8013,Power Plant Operators,0.0257,0.0,0,low_low
51-8092,Gas Plant Operators,0.0723,0.0,0,low_low
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.0405,0.0,0,low_low
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.0425,0.0,0,low_low
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.0321,0.0,0,low_low
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.0324,0.14420410427066,1,low_low
51-9151,Photographic Process Workers and Processing Machine Operators,0.0108,0.0,0,low_low
51-9161,Computer Numerically Controlled Tool Operators,0.0215,0.0,0,low_low
51-9162,Computer Numerically Controlled Tool Programmers,0.1207,0.0,0,high_low
51-9198,Helpers--Production Workers,0.0393,0.0,0,low_low
53-2022,Airfield Operations Specialists,0.0476,0.0,0,low_low
53-2031,Flight Attendants,0.0913,0.0,0,low_low
53-3031,Driver/Sales Workers,0.0281,0.0,0,low_low
53-6061,Passenger Attendants,0.1169,0.0,0,high_low
